     time     force
  9.61924E-01  3.80203E+00
  9.63928E-01  3.80362E+00
  9.65932E-01  3.80520E+00
  9.67936E-01  3.80677E+00
  9.69940E-01  3.80834E+00
  9.71944E-01  3.80989E+00
  9.73948E-01  3.81144E+00
  9.75952E-01  3.81298E+00
  9.77956E-01  3.81451E+00
  9.79960E-01  3.81604E+00
  9.81964E-01  3.81755E+00
  9.83968E-01  3.81906E+00
  9.85972E-01  3.82056E+00
  9.87976E-01  3.82205E+00
  9.89980E-01  3.82353E+00
  9.91984E-01  3.82501E+00
  9.93988E-01  3.82647E+00
  9.95992E-01  3.82793E+00
  9.97996E-01  3.82939E+00
  1.00000E+00  3.83083E+00
